Date,Country,New_confirmed,Total_confirmed,New_deaths,Total_deaths,New_recovered,Total_recovered
2022-11-19T04:48:24.726Z,Republic of Kosovo,0,272195,0,3202,0,0
2022-11-19T04:48:24.726Z,Romania,441,3293346,3,67249,0,0
2022-11-19T04:48:24.726Z,Russian Federation,5644,21214339,61,383381,0,0
2022-11-19T04:48:24.726Z,Rwanda,0,132643,0,1467,0,0
2022-11-19T04:48:24.726Z,Saint Kitts and Nevis,0,6552,0,46,0,0
2022-11-19T04:48:24.726Z,Saint Lucia,16,29692,0,408,0,0
2022-11-19T04:48:24.726Z,Saint Vincent and Grenadines,0,9462,0,116,0,0
2022-11-19T04:48:24.726Z,Samoa,0,15949,0,29,0,0
2022-11-19T04:48:24.726Z,San Marino,0,21798,0,119,0,0
2022-11-19T04:48:24.726Z,Sao Tome and Principe,0,6275,0,77,0,0
2022-11-19T04:48:24.726Z,Saudi Arabia,83,824917,2,9442,0,0
2022-11-19T04:48:24.726Z,Senegal,0,88842,0,1968,0,0
2022-11-19T04:48:24.726Z,Serbia,674,2416113,6,17332,0,0
2022-11-19T04:48:24.726Z,Seychelles,0,49380,0,171,0,0
2022-11-19T04:48:24.726Z,Sierra Leone,0,7758,0,126,0,0
2022-11-19T04:48:24.726Z,Singapore,2088,2148794,1,1699,0,0
2022-11-19T04:48:24.726Z,Slovakia,253,2647741,4,20700,0,0
2022-11-19T04:48:24.726Z,Slovenia,905,1245626,2,6905,0,0
2022-11-19T04:48:24.726Z,Solomon Islands,0,21884,0,153,0,0
2022-11-19T04:48:24.726Z,Somalia,0,27254,0,1361,0,0
2022-11-19T04:48:24.726Z,South Africa,458,4036623,0,102371,0,0
2022-11-19T04:48:24.726Z,South Sudan,0,18339,0,138,0,0
2022-11-19T04:48:24.726Z,Spain,0,13551539,0,115357,0,0
2022-11-19T04:48:24.726Z,Sri Lanka,16,671481,3,16788,0,0
2022-11-19T04:48:24.726Z,Sudan,0,63595,0,4981,0,0
2022-11-19T04:48:24.726Z,Suriname,0,81228,0,1392,0,0
2022-11-19T04:48:24.726Z,Swaziland,0,73708,0,1422,0,0
2022-11-19T04:48:24.726Z,Sweden,4102,2622790,71,20928,0,0
2022-11-19T04:48:24.726Z,Switzerland,0,4297635,0,14110,0,0
2022-11-19T04:48:24.726Z,Syrian Arab Republic (Syria),1,57385,0,3163,0,0
2022-11-19T04:48:24.726Z,"Taiwan, Republic of China",20116,8112234,77,13791,0,0
2022-11-19T04:48:24.726Z,Tajikistan,0,17786,0,125,0,0
2022-11-19T04:48:24.726Z,"Tanzania, United Republic of",0,40311,0,845,0,0
